Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover,
1000MERCIS,FR0010285965,ALMIL,Euronext Growth Paris,EUR,23,23.2,23,23,26/11/19,CET,94,2169.5,
2CRSI,FR0013341781,2CRSI,Euronext Paris,EUR,4.82,4.84,4.56,4.73,26/11/19,CET,81004,383520.22,
A TOUTE VITESSE,FR0010050773,MLATV,Euronext Access Paris,EUR,1.48,1.48,1.35,1.35,13/11/19,CET,378,521.87,
A.S.T. GROUPE,FR0000076887,ASP,Euronext Paris,EUR,3.15,3.18,3.035,3.035,26/11/19,CET,9910,31206.46,
AALBERTS NV,NL0000852564,AALB,Euronext Amsterdam,EUR,38.14,38.56,37.98,38.53,26/11/19,CET,266479,10218482.96,
AB INBEV,BE0974293251,ABI,Euronext Brussels,EUR,71.78,72.19,71.48,71.48,26/11/19,CET,2384117,170717457.9,
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR,4.89,4.89,4.62,4.82,26/11/19,CET,97392,462725.68,
ABBEY PLC,IE0000020408,DOY,Euronext Growth Dublin,EUR,14,14,13.7,13.7,26/11/19,UTC,168,2327.4,
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,6.65,6.71,6.65,6.71,26/11/19,CET,89426,598371.01,
ABEO,FR0013185857,ABEO,Euronext Paris,EUR,22.2,22.2,21.8,22,26/11/19,CET,631,13873.1,
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris,EUR,0.4035,0.435,0.38,0.3805,26/11/19,CET,450812,182207.34,
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR,11.08,11.3,10.84,11.24,26/11/19,CET,16912,187964.7,
ABN AMRO BANK N.V.,NL0011540547,ABN,Euronext Amsterdam,EUR,15.72,15.84,15.675,15.725,26/11/19,CET,3077072,48448125.48,
ABO GROUP,BE0974278104,ABO,Euronext Brussels,EUR,2.32,2.32,2.32,2.32,26/11/19,CET,69,160.08,
ACACIA PHARMA,GB00BYWF9Y76,ACPH,Euronext Brussels,EUR,1.8,1.874,1.794,1.794,26/11/19,CET,179501,327627.24,
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR,0.485,0.485,0.463,0.482,26/11/19,CET,43552,20769.95,
ACCELL GROUP,NL0009767532,ACCEL,Euronext Amsterdam,EUR,25,25.7,24.9,25.6,26/11/19,CET,51783,1316938.25,
ACCENTIS,BE0003696102,ACCB,Euronext Brussels,EUR,0.046,0.0475,0.046,0.047,26/11/19,CET,707826,33103.91,
ACCOR,FR0000120404,AC,Euronext Paris,EUR,39.3,39.66,38.97,39.58,26/11/19,CET,1754551,69217604.95,
ACCSYS,GB00BQQFX454,AXS,Euronext Amsterdam,EUR,1.17,1.17,1.16,1.16,26/11/19,CET,72143,84135.57,
ACHETER-LOUER.FR,FR0010493510,ALALO,Euronext Growth Paris,EUR,0.0134,0.0139,0.0128,0.0138,26/11/19,CET,7471037,99454.22,
ACKERMANS V.HAAREN,BE0003764785,ACKB,Euronext Brussels,EUR,137.7,137.7,136.5,137.6,26/11/19,CET,31318,4302745.2,
ACTEOS,FR0000076861,EOS,Euronext Paris,EUR,1.29,1.305,1.255,1.275,26/11/19,CET,4277,5447.52,
ACTIA GROUP,FR0000076655,ATI,Euronext Paris,EUR,4,4.03,3.97,3.975,26/11/19,CET,5884,23499.63,
ACTIPLAY (GROUPE),FR0011038348,ALACT,Euronext Growth Paris,EUR,0.161,0.165,0.161,0.161,26/11/19,CET,3480,560.68,
ACTIVIUM GROUP,FR0010979377,MLACT,Euronext Access Paris,EUR,1.45,1.45,1.45,1.45,20/11/19,CET,11681,17521,
ADA,FR0000053076,ALADA,Euronext Growth Paris,EUR,10.6,10.9,10.6,10.9,26/11/19,CET,531,5775.6,
ADC SIIC,BE0974269012,ALDV,Euronext Paris,EUR,0.088,0.088,0.088,0.088,25/11/19,CET,28000,2464,
ADEUNIS,FR0013284627,ALARF,Euronext Growth Paris,EUR,3.45,3.45,3.4,3.4,26/11/19,CET,4984,17037.33,
ADL PARTNER,FR0000062978,ALP,Euronext Paris,EUR,14.45,14.5,14.25,14.35,26/11/19,CET,276,3953.2,
ADOCIA,FR0011184241,ADOC,Euronext Paris,EUR,8.8,8.9,8.8,8.9,26/11/19,CET,3824,33825.98,
ADOMOS,FR0013247244,ALADO,Euronext Growth Paris,EUR,0.62,0.62,0.6,0.61,26/11/19,CET,14508,8719.76,
ADP,FR0010340141,ADP,Euronext Paris,EUR,178.4,180.9,177.6,180.4,26/11/19,CET,117007,21069293.4,
ADTHINK,FR0010457531,ALADM,Euronext Growth Paris,EUR,0.708,0.758,0.708,0.758,26/11/19,CET,175,128.4,
ADUX,FR0012821890,ADUX,Euronext Paris,EUR,0.98,1.005,0.98,0.98,26/11/19,CET,420,415.98,
ADVENIS,FR0004152874,ADV,Euronext Paris,EUR,1.315,1.315,1.31,1.31,26/11/19,CET,1501,1970.1,
ADVICENNE,FR0013296746,ADVIC,Euronext Paris,,,,,,,,,,
ADVINI,FR0000053043,ADVI,Euronext Paris,EUR,26,26.2,26,26,26/11/19,CET,83,2168,
